source,target,value,name,group,size1,size2,size
101,103,1,84381652,6,3,0.602059991,3.010299955
122,8,1,102691619,8,2,0.477121255,2.385606275
122,5,1,1722091,3,1,0.301029996,1.50514998
117,107,1,bridge3water,7,1,0.301029996,1.50514998
117,39,1,63401608,8,1,0.301029996,1.50514998
117,115,1,141749699,6,2,0.477121255,2.385606275
123,18,1,108077404,6,1,0.301029996,1.50514998
124,9,1,elingwu,0,1,0.301029996,1.50514998
125,5,1,minsi,3,1,0.301029996,1.50514998
126,39,1,zoejuan,3,1,0.301029996,1.50514998
76,39,1,41521988,6,2,0.477121255,2.385606275
76,18,1,131486471,8,2,0.477121255,2.385606275
76,127,1,72870072,0,1,0.301029996,1.50514998
128,20,1,se7en_moxa,7,1,0.301029996,1.50514998
129,23,1,nancyasuka,6,1,0.301029996,1.50514998
130,13,1,97637940,2,4,0.698970004,3.49485002
131,92,1,40008975,7,1,0.301029996,1.50514998
131,51,1,MuseK,3,1,0.301029996,1.50514998
132,13,1,45008619,7,1,0.301029996,1.50514998
132,8,1,120008046,6,2,0.477121255,2.385606275
5,122,1,53559432,0,2,0.477121255,2.385606275
5,64,1,Sophieless,3,1,0.301029996,1.50514998
5,32,1,melodykyo,2,1,0.301029996,1.50514998
5,48,1,145223183,7,1,0.301029996,1.50514998
5,39,1,129828192,6,10,1.041392685,5.206963425
133,9,1,Jimmydtc,6,1,0.301029996,1.50514998
134,22,1,fhbaidu,7,1,0.301029996,1.50514998
134,5,1,138005096,7,1,0.301029996,1.50514998
134,27,1,151706549,3,1,0.301029996,1.50514998
134,135,1,jillianc,6,2,0.477121255,2.385606275
136,19,1,2697141,2,1,0.301029996,1.50514998
136,34,1,coreless,8,5,0.77815125,3.89075625
136,25,1,34117542,8,1,0.301029996,1.50514998
137,92,1,72783700,1,4,0.698970004,3.49485002
138,25,1,masterobert,7,1,0.301029996,1.50514998
139,140,1,50790386,1,1,0.301029996,1.50514998
141,25,1,Newidiot,2,16,1.230448921,6.152244605
141,13,1,bany,8,1,0.301029996,1.50514998
15,14,1,145149457,7,2,0.477121255,2.385606275
15,34,1,grassgggg,1,1,0.301029996,1.50514998
15,39,1,87083309,1,4,0.698970004,3.49485002
15,24,1,minquan,2,1,0.301029996,1.50514998
44,31,1,68325010,2,1,0.301029996,1.50514998
44,22,1,xumanman,8,1,0.301029996,1.50514998
44,13,1,144975066,7,2,0.477121255,2.385606275
44,25,1,63512808,7,1,0.301029996,1.50514998
44,46,1,hjscez,8,3,0.602059991,3.010299955
22,93,1,porKiller,8,1,0.301029996,1.50514998
22,44,1,53021898,16,2,0.477121255,2.385606275
22,25,1,donkey-grandpa,16,2,0.477121255,2.385606275
22,15,1,54894028,8,1,0.301029996,1.50514998
22,24,1,hearyin,6,1,0.301029996,1.50514998
22,32,1,132056679,1,1,0.301029996,1.50514998
22,18,1,73122249,8,1,0.301029996,1.50514998
22,20,1,48673876,2,4,0.698970004,3.49485002
1,3,1,chansi,1,4,0.698970004,3.49485002
142,18,1,132539193,1,1,0.301029996,1.50514998
46,77,1,91226711,2,2,0.477121255,2.385606275
46,44,1,zero8,2,1,0.301029996,1.50514998
46,18,1,50967494,2,1,0.301029996,1.50514998
46,13,1,51354919,17,1,0.301029996,1.50514998
77,56,1,129783136,17,1,0.301029996,1.50514998
143,32,1,68639087,18,1,0.301029996,1.50514998
143,5,1,98956225,18,1,0.301029996,1.50514998
144,13,1,66479915,12,3,0.602059991,3.010299955
144,145,1,103400485,2,8,0.954242509,4.771212545
146,68,1,vliangfrank,2,1,0.301029996,1.50514998
147,20,1,unnanae,6,6,0.84509804,4.2254902
147,68,1,3335015,0,2,0.477121255,2.385606275
68,39,1,noahsart,3,6,0.84509804,4.2254902
68,32,1,sherryxie0805,6,1,0.301029996,1.50514998
68,111,1,little-wen,8,1,0.301029996,1.50514998
148,68,1,13818711,8,1,0.301029996,1.50514998
135,149,1,smileykiko,8,2,0.477121255,2.385606275
150,68,1,lihudo,19,1,0.301029996,1.50514998
150,13,1,Zazai,19,1,0.301029996,1.50514998
150,20,1,echo19870605bj,20,1,0.301029996,1.50514998
97,34,1,Mrs_Dalloway,20,1,0.301029996,1.50514998
97,32,1,71298339,2,1,0.301029996,1.50514998
151,25,1,,,,,
151,9,1,,,,,
151,152,1,,,,,
151,5,1,,,,,
151,20,1,,,,,
153,154,1,,,,,
153,20,1,,,,,
153,3,1,,,,,
153,18,1,,,,,
153,25,1,,,,,
153,140,1,,,,,
153,34,1,,,,,
155,5,1,,,,,
156,8,1,,,,,
156,1,1,,,,,
157,15,1,,,,,
158,39,1,,,,,
158,127,1,,,,,
66,65,1,,,,,
66,159,1,,,,,
160,29,1,,,,,
160,10,1,,,,,
160,9,1,,,,,
160,24,1,,,,,
160,161,1,,,,,
160,34,1,,,,,
160,20,1,,,,,
160,18,1,,,,,
145,20,1,,,,,
31,19,1,,,,,
31,10,1,,,,,
31,14,1,,,,,
31,9,1,,,,,
31,46,1,,,,,
31,82,1,,,,,
31,44,1,,,,,
31,76,1,,,,,
31,162,1,,,,,
31,32,1,,,,,
31,84,1,,,,,
31,34,1,,,,,
31,15,1,,,,,
31,22,1,,,,,
31,13,1,,,,,
31,25,1,,,,,
31,24,1,,,,,
31,5,1,,,,,
31,23,1,,,,,
31,8,1,,,,,
31,20,1,,,,,
31,18,1,,,,,
31,39,1,,,,,
50,25,1,,,,,
50,24,1,,,,,
50,20,1,,,,,
50,5,1,,,,,
50,111,1,,,,,
50,49,1,,,,,
51,163,1,,,,,
51,49,1,,,,,
164,165,1,,,,,
164,166,1,,,,,
167,18,1,,,,,
167,20,1,,,,,
168,20,1,,,,,
28,39,1,,,,,
28,24,1,,,,,
28,73,1,,,,,
169,24,1,,,,,
170,18,1,,,,,
170,24,1,,,,,
170,13,1,,,,,
170,25,1,,,,,
170,5,1,,,,,
170,20,1,,,,,
98,18,1,,,,,
171,82,1,,,,,
171,122,1,,,,,
172,18,1,,,,,
172,5,1,,,,,
172,32,1,,,,,
172,39,1,,,,,
172,28,1,,,,,
109,108,1,,,,,
173,174,1,,,,,
175,32,1,,,,,
175,176,1,,,,,
177,5,1,,,,,
177,10,1,,,,,
177,8,1,,,,,
177,32,1,,,,,
177,34,1,,,,,
178,25,1,,,,,
179,13,1,,,,,
180,181,1,,,,,
180,20,1,,,,,
181,180,1,,,,,
182,183,1,,,,,
184,82,1,,,,,
184,5,1,,,,,
184,25,1,,,,,
185,5,1,,,,,
185,20,1,,,,,
186,18,1,,,,,
187,39,1,,,,,
188,60,1,,,,,
189,77,1,,,,,
189,190,1,,,,,
191,8,1,,,,,
192,18,1,,,,,
193,18,1,,,,,
194,22,1,,,,,
194,39,1,,,,,
195,68,1,,,,,
195,39,1,,,,,
196,8,1,,,,,
197,39,1,,,,,
25,32,1,,,,,
25,18,1,,,,,
25,13,1,,,,,
25,24,1,,,,,
25,5,1,,,,,
25,15,1,,,,,
198,15,1,,,,,
120,20,1,,,,,
120,119,1,,,,,
199,14,1,,,,,
199,18,1,,,,,
199,13,1,,,,,
199,77,1,,,,,
61,60,1,,,,,
162,161,1,,,,,
149,135,1,,,,,
200,32,1,,,,,
201,18,1,,,,,
202,39,1,,,,,
203,77,1,,,,,
203,25,1,,,,,
204,53,1,,,,,
205,160,1,,,,,
127,111,1,,,,,
206,13,1,,,,,
207,39,1,,,,,
208,140,1,,,,,
208,209,1,,,,,
208,19,1,,,,,
208,13,1,,,,,
208,82,1,,,,,
208,77,1,,,,,
208,15,1,,,,,
208,32,1,,,,,
208,25,1,,,,,
208,22,1,,,,,
210,39,1,,,,,
211,39,1,,,,,
212,18,1,,,,,
213,15,1,,,,,
213,32,1,,,,,
53,23,1,,,,,
53,204,1,,,,,
74,58,1,,,,,
74,27,1,,,,,
74,116,1,,,,,
74,32,1,,,,,
74,39,1,,,,,
165,164,1,,,,,
165,32,1,,,,,
214,13,1,,,,,
215,39,1,,,,,
215,216,1,,,,,
215,20,1,,,,,
215,142,1,,,,,
215,75,1,,,,,
217,140,1,,,,,
217,39,1,,,,,
217,5,1,,,,,
218,32,1,,,,,
154,153,1,,,,,
154,219,1,,,,,
154,220,1,,,,,
221,68,1,,,,,
222,39,1,,,,,
222,5,1,,,,,
223,3,1,,,,,
21,84,1,,,,,
21,20,1,,,,,
224,5,1,,,,,
224,59,1,,,,,
224,15,1,,,,,
224,57,1,,,,,
225,46,1,,,,,
226,25,1,,,,,
227,20,1,,,,,
228,39,1,,,,,
228,18,1,,,,,
229,39,1,,,,,
230,231,1,,,,,
230,20,1,,,,,
230,142,1,,,,,
232,233,1,,,,,
234,68,1,,,,,
235,22,1,,,,,
236,5,1,,,,,
105,18,1,,,,,
237,20,1,,,,,
48,5,1,,,,,
48,47,1,,,,,
35,9,1,,,,,
233,232,1,,,,,
220,77,1,,,,,
220,46,1,,,,,
220,13,1,,,,,
220,154,1,,,,,
220,84,1,,,,,
220,25,1,,,,,
220,18,1,,,,,
220,39,1,,,,,
220,32,1,,,,,
220,9,1,,,,,
220,162,1,,,,,
220,24,1,,,,,
220,5,1,,,,,
220,20,1,,,,,
220,8,1,,,,,
82,73,1,,,,,
82,24,1,,,,,
24,28,1,,,,,
24,13,1,,,,,
24,25,1,,,,,
24,22,1,,,,,
24,52,1,,,,,
24,169,1,,,,,
24,5,1,,,,,
24,18,1,,,,,
24,32,1,,,,,
24,82,1,,,,,
24,73,1,,,,,
24,34,1,,,,,
24,15,1,,,,,
24,20,1,,,,,
24,39,1,,,,,
24,84,1,,,,,
73,82,1,,,,,
73,24,1,,,,,
73,20,1,,,,,
73,28,1,,,,,
73,72,1,,,,,
238,25,1,,,,,
238,13,1,,,,,
238,52,1,,,,,
238,68,1,,,,,
239,18,1,,,,,
239,32,1,,,,,
239,152,1,,,,,
239,5,1,,,,,
27,74,1,,,,,
116,115,1,,,,,
116,25,1,,,,,
116,32,1,,,,,
240,5,1,,,,,
241,13,1,,,,,
241,25,1,,,,,
242,14,1,,,,,
166,164,1,,,,,
243,25,1,,,,,
244,245,1,,,,,
246,247,1,,,,,
248,107,1,,,,,
248,18,1,,,,,
248,5,1,,,,,
159,152,1,,,,,
159,66,1,,,,,
94,18,1,,,,,
249,152,1,,,,,
249,5,1,,,,,
249,18,1,,,,,
249,13,1,,,,,
249,32,1,,,,,
249,25,1,,,,,
249,20,1,,,,,
249,24,1,,,,,
250,84,1,,,,,
161,59,1,,,,,
161,39,1,,,,,
251,145,1,,,,,
251,3,1,,,,,
251,77,1,,,,,
251,32,1,,,,,
251,5,1,,,,,
251,8,1,,,,,
140,217,1,,,,,
140,5,1,,,,,
140,18,1,,,,,
39,28,1,,,,,
39,74,1,,,,,
39,34,1,,,,,
39,161,1,,,,,
39,15,1,,,,,
39,95,1,,,,,
39,24,1,,,,,
39,5,1,,,,,
252,25,1,,,,,
252,8,1,,,,,
253,25,1,,,,,
253,5,1,,,,,
253,18,1,,,,,
253,10,1,,,,,
253,9,1,,,,,
253,20,1,,,,,
254,15,1,,,,,
255,20,1,,,,,
256,68,1,,,,,
257,39,1,,,,,
257,20,1,,,,,
258,259,1,,,,,
260,261,1,,,,,
262,25,1,,,,,
